ArticleID,Topic,Ideology,Credibility,Source,Title,Abstract
106,science_tech,least_biased,high,CNET,"Musk Expects To Run Twitter Until The 'End of This Year'
","Elon Musk reportedly thinks Twitter will be ready for a new chief executive ""toward the end this year."" The tech billionaire, who bought Twitter for $44 billion in October, said during an event Wednesday that he needs to stabilize the social network before finding a new CEO.
""I'm guessing toward the end of this year should be a good timing to find someone else to run the company,"" Musk said in a virtual interview during the World Government Summit, according to Bloomberg. "
107,science_tech,least_biased,high,CNET,"In the Shadow of Chernobyl, a Pack of Dogs Unlike Any Other Roams the Wasteland","Today, Chernobyl's doomed reactor is entombed within a massive concrete structure known as the sarcophagus, but the effects of its meltdown linger. The radioactive atoms — radionuclides — released in the 10 days after the catastrophe still permeate the soil, the water and, yes, the animals that have made the CEZ their home, including Chernobyl's dogs.
This unfortunate fate for the canines has a somewhat grim silver lining. By studying the DNA of these dogs, researchers could better understand how chronic exposure to radiation leaves long-lasting effects on physiology and health. "
108,culture_sports,least_biased,medium,Newzjunky: dailymail,The 20 jobs most at risk as the AI boom continues: Is YOUR occupation on the list? ,"The rise of artificial intelligence is set to boost economic growth, but it is also poised to take over the job market - and a new study now reveals the 20 occupations most at risk.
A team led by Princeton University conducted the AI research by linking 10 AI-powered applications - such as language - to 52 human abilities, to understand if any closely relate.
The results showed that telemarketers, teachers, school psychologists and judges are among the most at risk of the new technology. 
'A prominent example of how AI capabilities continue to advance are the recent improvements in AI language modeling.
'In particular, ChatGPT, a language modeler released by Open AI in late 2022, has garnered a huge amount of attention and controversy.'"
109,culture_sports,least_biased,medium,Newzjunky: mailonline,"The Mean Girls effect: Women enjoy it when their friends are nasty towards people they dislike, study finds (mailonline)","Anyone who has been through secondary school will already know that the iconic 2003 film 'Mean Girls' was more of a documentary than a comedy.
But a new study may provide some insight as to why many women gravitate towards friendship groups that emulate Regina George and her notorious 'Plastics'.
Researchers at Oklahoma State University in the US surveyed 1,183 people on their preferences for the behaviours of a same-sex best friend. This revealed that many people - both men and women - prefer friends who are kind towards us, but vicious towards our enemies. Providing the friend is directing this behaviour at their enemy, this may reflect a 'deeply strategic social cognition'. They are choosing friends that could deter their enemy from harming them, rather than those that just demonstrate prosocial characteristics in general."
110,science_tech,least_biased,medium,Newzjunky: ctvnews,"Diabetes drug in short supply in U.S. after celebrities, influencers touted its weight-loss benefits","Ozempic, a drug used to treat Type 2 diabetes, is extremely hard to find in the U.S., after some celebrities and social media influencers touted it as a weight loss solution.
The drug, also known as semaglutide, was approved in 2017 by the U.S. Food and Drug Administration (FDA), mainly to treat diabetes but it also showed weight loss results. Both Ozempic and Wegovy, another semaglutide medication produced by drug manufacturer Novo Nordisk, were also subsequently approved by Health Canada. In recent months prominent figures like Elon Musk have said they use the semaglutide medications for weight loss."
111,science_tech,least_biased,medium,Newzjunky: CNBC,Super Bowl betting sets records for sportsbooks,"It was a record-breaking Super Bowl for sportsbooks as gamblers ponied up across the United States.
Super Bowl 57 was the first one to be played in a state where sports gambling is legal, and early data shows there was a lot of enthusiasm for betting on the big game.
GeoComply, a company that verifies the locations where gamblers are betting, saw 100 million sports-betting transactions this Super Bowl weekend, an increase of 25% over last year. In and around State Farm Stadium in Glendale, Arizona, more than 100,000 transactions were verified on Sunday."
112,culture_sports,center_right,high,Wall Street Journal,‘Ant-Man and the Wasp: Quantumania’ Review: Where More Is Less,"“Ant-Man and the Wasp: Quantumania,” inaugurates Phase Five of the Marvel Cinematic Universe, which is as financially hale as it is creatively tired. Thanks to a few sweet father-daughter moments and a relatively direct plot, this entry is a notch better than some even-more-febrile recent efforts such as “Doctor Strange in the Multiverse of Madness” and “Thor: Love and Thunder.” But overall it’s another lackluster blockbuster. It does contain one genuinely awe-inspiring visual spectacle (the face of Paul Rudd, the only American man who looks nearly as good now as he did during the Clinton administration) and one truly scary concept (teen activist daughters bent on achieving universal social justice when you wish they’d just do their homework)."
113,culture_sports,center_right,high,Wall Street Journal,Jayson Tatum Still Plays Like Kobe. He Got Better by Playing Beyond Kobe,"The Celtics’ superstar, leading the NBA’s best team, has merged his old-school mentor with new-school numbers.
The NBA’s All-Star Game MVP award, named after Kobe Bryant, may be the only honor in the league that a player can win simply by wanting it more than anyone else. In Sunday night’s installment of the game, a defense-free affair in which players took turns bouncing passes to themselves off the backboards and launching increasingly long-range and low-percentage 3-pointers, Jayson Tatum of the Boston Celtics earned the trophy. His methods were straightforward: He shot his triples mostly from the arc, not the half-court stripe. "
114,science_tech,center_right,high,Wall Street Journal,"Worst Avian Flu in U.S. History Is Hitting Poultry, Wild Birds, Even Bears
","Nearly a year after it began, the worst avian-influenza outbreak in U.S. history is continuing to decimate poultry flocks across the Midwest and Colorado, frustrating efforts to keep the virus from affecting the nation’s egg prices and supply.
In South Dakota, the highly contagious bird flu, typically transmitted by the feces, mucus and saliva of wild birds, first hit commercial poultry farms in March 2022 and has continued to affect flocks. Within the last month, egg-laying hens and turkeys at several local farms were infected, leading to the deaths of more than 1.3 million poultry over that period, according to U.S. Department of Agriculture data. Nearly four million poultry have died in the state since the start of the outbreak. "
115,science_tech,center_right,high,Wall Street Journal,Apple Approves ChatGPT-Powered App After Assurance of Content Moderation,"Apple Inc. has approved an email-app update after initially scrutinizing whether a feature in the software that uses language tools powered by artificial intelligence could generate inappropriate content for children.
The app, BlueMail, was approved following assurances from its developer that it features content moderation, according to Ben Volach, co-founder of the app-maker, Blix Inc."
116,culture_sports,center_right,medium,New York Post,Coldplay’s eco-friendly tour will be partly powered by fans’ dancing,"As a heroic effort to save the planet from environmental ruin, the “My Universe”-crooning rockstars are pledging to cut down their carbon emissions by 50% and to plant a tree for every ticket sold for their forthcoming 2022 eco-friendly world tour — which will feature a dance floor that generates electricity from the crowd’s kinetic energy. 
“When [I] say, ‘I need you to jump up and down,’ I’ll literally need you to jump up and down,” Coldplay frontman Chris Martin explained to the BBC. “Because if you don’t, then the lights will go out.”"
117,culture_sports,center_right,medium,New York Post,This is the Knicks team the diehards deserve,"It is not the kind of thing a general manager would consider when formulating a roster. It can’t be.
It is nowhere near the top of a coach’s to-do list when figuring out what kind of team he wants, or what system he’ll use.
Still, likeability is a thing in sports, especially professional sports, especially in 2023. Fans are going to root for their preferred teams no matter where they fall on the likeability scale, and if that means they hate-watch them the way you do a sitcom whose shelf life has passed, so be it.
And that brings us to the 2023 Knicks, and that is a word you hear associated with them almost every day now. They are likeable. They are easy to root for. They seem to enjoy playing with each other.
Even grumpy old Tom Thibodeau seems to be having the time of his life coaching them every night, and that was before this winning streak grew to nine games, before they started looking like a team that’s going to be a hell of a hard out in the playoffs.
The Knicks, in good times, have always been that. They have always had a genuine and visceral appeal."
118,science_tech,center_right,medium,New York Post,"Meta to lay off thousands more just weeks after cutting 11,000 jobs","Meta Platforms Inc. is set to slash thousands of more jobs this week on top of the 13% workforce reduction that CEO Mark Zuckerberg announced this past November, according to a report.
The tech giant which owns social networking behemoths Facebook and Instagram plans to notify employees within the coming days that their services are no longer needed, according to Bloomberg News.
The latest job cuts that are set to be announced this week is separate from the company’s overall “flattening” strategy."
119,science_tech,center_right,medium,New York Post,‘Holy Grail’ male contraceptive drug could revolutionize birth control,"A new study is showing top marks for a first-of-its-kind “breakthrough” male birth control that can be taken orally.
Scientists at Weill Cornell Medicine have announced that their drug — currently called TDI-11861 — “temporarily stops sperm in their tracks and prevents pregnancies in preclinical models.”
Like penicillin, this “game changer” was discovered unintentionally in 2018 when Dr. Melanie Balbach was researching a protein called soluble adenylyl cyclase, or sAC, for an eye condition. When the drug was given to mice, Balbach observed its sperm-halting capabilities."
120,culture_sports,right,high,National Review,"U.S. Marriage Rate Has Declined 60 Percent Since 1970, Study Shows","While national marriage rates have continuously fluctuated between the 1890s and 1960s, with peaks and troughs in between, there has been a consistent decline since the 1970s.
Whereas the marriage rate in 1970 stood at 76.5 percent, today that has more than halved down to a paltry 31.1 percent.
Sociologist Andrew Cherlin of John Hopkins University noted that NCFMR’s findings reveal that the formal benefits of marriage are continuing to dwindle as the rise of cohabitation and co-parenting have eroded historic social pressures.
“It used to be a basic institution that everyone had to buy into in early adulthood,” Cherlin told Axios on Saturday. “You got married, then you moved in together, and then you got a job.” However, “Marriage is now becoming the last step into adulthood,” Cherlin argued."
121,culture_sports,right,high,National Review,Season Four of Stranger Things: A Mixed-but-Positive Take,"First, the good. The latest season of the show is, on the whole, an improvement from season two, which I thought was basically a retread of the first season, and season three, which seemed to suggest a show without any serious idea of where it was going or wanted to go. 
It has some great individual moments, two of which are backed by two perfectly chosen songs: “Running Up That Hill” by Kate Bush and “Master of Puppets” by Metallica. While I, as a proud ’90s kid, lack genuine ‘80s nostalgia, I do enjoy its pop culture, so such musical moments, as well as allusions to that era’s movies and TV.
Now, for the bad. That same attempt to split up the plot helped contribute to one of the flaws of the season: an overall sense of overindulgence. There was just too much going on. "
122,science_tech,right,high,National Review,Could a Ban on TikTok Really Happen?,"On the menu today: Should the U.S. government ban TikTok from the phones of private U.S. citizens?
TikTok may well be so harmful, and so potentially dangerous, that the federal government must step in and say to tens of millions of Americans, “No, you’re not allowed to have this.”
The app is already banned from devices owned and operated by the federal government.
A bipartisan Senate bill that will be introduced today aims to “give the president the authority to respond to threats posed by TikTok and companies like it.” A separate Senate bill, cosponsored by Maine independent senator Angus King and Florida Republican senator Marco Rubio, would ban the app outright; TikTok would be allowed to continue to operate if the company relocated or were sold to a friendly nation."
123,science_tech,right,high,National Review,"TikTok’s New Filter Will Exacerbate Girls’ Mental-Health Spiral, Experts Predict"," new filter called ‘Bold Glamour’ removes facial imperfections, creating an impossible beauty standard that’s left users shaken.
TikTok launched a beguiling new filter last week that promises to turn every users into the most flawless version of themselves. While some social-media influencers reveled in their goddess-like transformations, many users recoiled at the dramatic dispartiy betweem their real and artificial appearences. ""This filter makes me feel ugly in real life"", a user wrote on her video. The disturbed reactions are a harbinger of what's to come."
124,culture_sports,right,medium,Fox News,"Gigi Hadid admits nepo baby status, reveals 'I don't think I'm the prettiest'","She is one of the most recognizable faces in the world, but supermodel Gigi Hadid admits she is a product of privilege.
""Technically I’m a nepotism baby,"" Hadid prefaced in a new interview, before adding, ""My parents came from very little.""
Hadid is the daughter of Palestinian developer Mohamed Hadid and Dutch model and former ""The Real Housewives of Beverly Hills"" star Yolanda Hadid.
Even with an enviable figure and striking looks, Hadid said she has never been the paradigm of a perfect model. ""When I started out I was a heavily trained volleyball player and I had a certain body type from that. At that time fashion hadn’t started to get into a more inclusive body-image conversation. I was probably harder on my body than I should have been,"" she said."
125,culture_sports,right,medium,Fox News,John Cena books WrestleMania 39 match vs Austin Theory for US title,"John Cena made his triumphant return to ""Monday Night Raw"" in Boston, marking his first appearance on the red brand in quite some time and booked a WrestleMania match with Austin Theory for the United States Championship.
Cena got a big pop from the crowd and even got emotional as he hit the stage. He ran into the ring and heard the cheers from the fans in his home state. As he was about to gather himself, Theory’s music hit, and he came out to address the legendary WWE superstar.
The rising WWE star questioned whether Cena was ""giving up"" and questioned whether Cena was living up to his calling card – Hustle, Loyalty and Respect. Cena explained that he did not say no because he ""gave up."" He said Theory was not ready but left it up to the fans, and they agreed a match was in the best interest.Cena vs. Theory is now set for WrestleMania in Los Angeles."
126,science_tech,right,medium,Fox News,"Teenage binge-drinking: Why it’s so dangerous for young people to overindulge in alcohol
","One in every six adults participates in binge-drinking and 25% do so at least once a week, according to the Centers for Disease Control and Prevention (CDC). 
Yet it's most common among young adults ages 18 to 24 — leading to emergency situations such as the one reported on Saturday at the University of Massachusetts. More than 30 college students were taken to the hospital after they participated in a TikTok-fueled binge-drinking trend.
As part of the trend, students prepare and drink ""blackout rage gallons,"" or ""BORGs,"" which consist of a mixture of alcohol, electrolytes, flavoring and water. As of Monday, ""BORG"" videos on TikTok had amassed 81.5 million views and counting. 
""The brains of teens and young adults have not fully developed, making them more vulnerable to impulsive, emotionally driven behaviors that are the most common causes of alcohol-related injuries and death,"" he told Fox News Digital in an email."
127,science_tech,right,medium,Fox News,You won’t believe how much money hackers get from stealing your data,"JHackers are constantly figuring out ways to steal your data, and it's almost always about one thing - the money. 
In fact, the price paid for this stolen information is astounding. We typically talk about how these data breaches happen and what their impact is after the fact. According to the Dark Web Price Index, which was compiled by Privacy Affairs, a person's personal information is worth around $1,010. They came up with this figure after calculating what Dark Web product prices are worth. According toVerizon's annual data breach report, 86% of data breaches are about money, and 55% are committed by organized criminal groups."
